extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary127100,Government spending on adult correctional services,article85-002-x19960038218_12,,Do not load to OLC,85-002-X19960038218,
primary127106,"Youth custody and probation in Canada, 1994-95",article85-002-x19960068164_12,,Do not load to OLC,85-002-X19960068164,
primary127094,Recidivism in youth courts 1993-94,article85-002-x19950168272_12,,Do not load to OLC,85-002-X19950168272,
primary128436,"Trends in justice spending, 1988/89 to 1992/93",article85-002-x19940168205_12,,Do not load to OLC,85-002-X19940168205,
primary128397,Government spending on justice services,article85-002-x19910078180_12,,Do not load to OLC,85-002-X19910078180,
primary127096,Police personnel and expenditures in Canada - 1994,article85-002-x19960018239_12,,Do not load to OLC,85-002-X19960018239,
primary126983,Teenage victims of violent crime,article85-002-x19920068188_12,Do not load to OLC,Do not load to OLC,85-002-X19920068188,
primary126959,Weapons and violent crime,article85-002-x19910128276_12,Do not load to OLC,Do not load to OLC,85-002-X19910128276,
primary126973,Break and enter in Canada,article85-002-x19920018185_12,Do not load to OLC,Do not load to OLC,85-002-X19920018185,
primary126907,The supply of illicit drugs in Canada,article85-002-x19900068170_12,Do not load to OLC,Do not load to OLC,85-002-X19900068170,
primary126981,Fraud in Canada,article85-002-x19920058159_12,Do not load to OLC,Do not load to OLC,85-002-X19920058159,
primary126985,"Crime trends in Canada, 1962-1990",article85-002-x19920078189_12,Do not load to OLC,Do not load to OLC,85-002-X19920078189,
primary126905,"Impaired driving statistics, 1988",article85-002-x19900058262_12,Do not load to OLC,Do not load to OLC,85-002-X19900058262,
primary126961,"Trends in impaired driving statistics, 1990",article85-002-x19910138182_12,Do not load to OLC,Do not load to OLC,85-002-X19910138182,
primary126991,Robbery in Canada,article85-002-x19920108160_12,Do not load to OLC,Do not load to OLC,85-002-X19920108160,
primary126971,Youth custody in Canada,article85-002-x19910188248_12,,Do not load to OLC,85-002-X19910188248,
primary126979,"Sentencing in youth courts, 1986-87 to 1990-91",article85-002-x19920048187_12,,Do not load to OLC,85-002-X19920048187,
primary127013,Gender differences among violent crime victims,article85-002-x19920218194_12,,Do not load to OLC,85-002-X19920218194,
primary126977,"International incarceration patterns, 1980-1990",article85-002-x19920038186_12,,Do not load to OLC,85-002-X19920038186,
primary126975,"Recidivism in youth courts, 1990-91",article85-002-x19920028277_12,,Do not load to OLC,85-002-X19920028277,
primary126987,Correctional services in Canada: Highlights for 1990-91,article85-002-x19920088278_12,,Do not load to OLC,85-002-X19920088278,
primary126995,Legal aid in Canada: The 1980's in review,article85-002-x19910118246_12,,Do not load to OLC,85-002-X19910118246,
primary127011,Police personnel and expenditures in Canada - 1991,article85-002-x19920208193_12,,Do not load to OLC,85-002-X19920208193,
primary134043,"Railway Transport in Canada, Commodity Statistics",publication52-211-x_12,Discontinued/Not available,Do not load to OLC,52-211-X,
primary126350,Homicide in Canada,article85-002-x19950118162_12,Do not load to OLC,Do not load to OLC,85-002-X19950118162,
primary126342,"Youth crime in Canada, 1986-1988",article85-002-x19900128174_12,Do not load to OLC,Do not load to OLC,85-002-X19900128174,
primary126734,The application of dispositions under the young offenders act,article85-002-x19910058179_12,Do not load to OLC,Do not load to OLC,85-002-X19910058179,
primary126630,Motor vehicle theft and vehicle vandalism,article85-002-x19910028178_12,Do not load to OLC,Do not load to OLC,85-002-X19910028178,
primary126575,Women and crime,article85-002-x19900208234_12,Do not load to OLC,Do not load to OLC,85-002-X19900208234,
primary126518,"Impaired driving statistics, 1989",article85-002-x19900178176_12,Do not load to OLC,Do not load to OLC,85-002-X19900178176,
primary126903,"Drug trafficking, 1988",article85-002-x19900048169_12,Do not load to OLC,Do not load to OLC,85-002-X19900048169,
primary128617,Victims' use of police and social services,article85-002-x19950068259_12,Do not load to OLC,Do not load to OLC,85-002-X19950068259,
primary128399,Homicide in Canada - 1993,article85-002-x19940158275_12,Do not load to OLC,Do not load to OLC,85-002-X19940158275,
primary128351,Trends in criminal victimization: 1988-1993,article85-002-x19940138204_12,,Do not load to OLC,85-002-X19940138204,
primary129804,Youth court statistics preliminary data 1989-90 highlights,article85-002-x19900138264_12,,Do not load to OLC,85-002-X19900138264,
primary130735,"Homicide in Canada, 1989",article85-002-x19900148233_12,Do not load to OLC,Do not load to OLC,85-002-X19900148233,
primary135414,Violent crime in Canada,article85-002-x19900158242_12,Do not load to OLC,Do not load to OLC,85-002-X19900158242,
primary127083,Factfinder on crime and the administration of justice in Canada,article85-002-x19950108213_12,,Do not load to OLC,85-002-X19950108213,
primary127077,"Youth custody and probation in Canada, 1993-94",article85-002-x19950078210_12,,Do not load to OLC,85-002-X19950078210,
primary127051,"Youth custody in Canada, 1992-1993",article85-002-x19940118202_12,,Do not load to OLC,85-002-X19940118202,
primary127031,Correctional services in Canada: Highlights for 1992-93,article85-002-x19940018198_12,,Do not load to OLC,85-002-X19940018198,
primary127081,Fear and personal safety,article85-002-x19950098212_12,,Do not load to OLC,85-002-X19950098212,
primary127079,Police personnel and expenditures in Canada - 1993,article85-002-x19950088211_12,,Do not load to OLC,85-002-X19950088211,
primary127023,Correctional services in Canada: Highlights for 1991-92,article85-002-x19930038251_12,,Do not load to OLC,85-002-X19930038251,
primary127021,Court services in Canada,article85-002-x19930028195_12,,Do not load to OLC,85-002-X19930028195,
primary127017,Legal aid in Canada: 1990-91,article85-002-x19920238238_12,,Do not load to OLC,85-002-X19920238238,
primary124695,Who gets UI?,article73-202-s19940002393_12,Do not load to OLC,Do not load to OLC,73-202-S19940002393,
primary128319,Agricultural Profile of Ontario - Part II,issue95-357-x1991000_12,Completed,Do not load to OLC,95-357-X1991000,
primary128235,Agricultural Profile of Quebec - Part II,issue95-336-x1991000_12,Completed,Do not load to OLC,95-336-X1991000,
primary123956,Summer jobs for students: Recent trends,article71-001-p19940092391_12,,Do not load to OLC,71-001-P19940092391,
primary125983,"Financial Flow Accounts, Quarterly Estimates [2007]",publication13-014-x_12,Discontinued/Not available,Do not load to OLC,13-014-X,
primary127581,Civil Courts in Canada,publication85-509-x_12,Discontinued/Not available,Do not load to OLC,85-509-X,
primary128335,Agricultural Profile of Manitoba - Part 1 (Data Products: 1991 Census of Agriculture),publication95-363-x_12,Discontinued/Not available,Do not load to OLC,95-363-X,
primary132571,"Resources for Research and Development in Canada, ... (with ... Forecasts)",publication88-203-x_12,Discontinued/Not available,Do not load to OLC,88-203-X,
primary124392,Work Arrangements,publication71-605-x_12,Do not load to OLC,Do not load to OLC,71-605-X,
primary123904,"Local Government Finance, Revenue and Expenditure, Assets and Liabilities, Actual",publication68-204-x_12,Discontinued/Not available,Do not load to OLC,68-204-X,
primary123907,"Provincial Government Finance, Assets, Liabilities, Source and Application of Funds",publication68-209-x_12,Discontinued/Not available,Do not load to OLC,68-209-X,
primary133240,"Provincial Government Finance, Revenue and Expenditure",publication68-207-x_12,Discontinued/Not available,Do not load to OLC,68-207-X,
primary123908,"Federal Government Finance, Revenue and Expenditure, Assets and Liabilities",publication68-211-x_12,Discontinued/Not available,Do not load to OLC,68-211-X,
primary131704,Dust in the wind: protecting natural soil resources,article96-325-x19960014821_12,,Do not load to OLC,96-325-X19960014821,
primary123916,"Quebec Public Sector, Revenue and Expenditure, a Test of the New Public Sector",publication68f0011x_12,Discontinued/Not available,Do not load to OLC,68F0011X,
primary128084,Organic fruit and vegetable production: do farmers get a premium price?,article21-004-x20040036797_12,,Do not load to OLC,21-004-X20040036797,
primary133368,"Public Sector Assets and Liabilities, Historical Overview",publication68-508-x_12,Discontinued/Not available,Do not load to OLC,68-508-X,
primary123915,"Public Finance Historical Data, 1965/66-1991/92",publication68-512-x_12,Discontinued/Not available,Do not load to OLC,68-512-X,
primary123912,The System of Government Financial Management Statistics,publication68-507-x_12,Discontinued/Not available,Do not load to OLC,68-507-X,
primary122052,Architect Engineer and Scientific Services,publication63-537-x_12,Discontinued/Not available,Do not load to OLC,63-537-X,
primary123903,Consolidated Government Finance,publication68-202-x_12,Discontinued/Not available,Do not load to OLC,68-202-X,
primary126764,"The Leading Causes of Death at Different Ages, Canada [1995]",publication84-503-x_12,Discontinued/Not available,Do not load to OLC,84-503-X,
primary125560,Survey Sampling: A Non-mathematical Guide,publication12-602-x_12,Discontinued/Not available,Do not load to OLC,12-602-X,
primary126291,Surgical Procedures and Treatments [1992/1993],publication82-217-x_12,Discontinued/Not available,Do not load to OLC,82-217-X,
primary125581,Survey Interviewing Skills: A Guide to Successful Interviewing,publication12f0047x_12,Discontinued/Not available,Do not load to OLC,12F0047X,
primary126667,List of Canadian Hospitals [1993],publication83-239-x_12,Discontinued/Not available,Do not load to OLC,83-239-X,
primary126648,List of Canadian Hospitals [1987],publication83-201-x_12,Discontinued/Not available,Do not load to OLC,83-201-X,
primary125421,"The Leading Causes of Death at Different Ages, Canada [1999]",publication84f0503x_12,Discontinued/Not available,Do not load to OLC,84F0503X,
primary136564,Motion Picture Production,publication63-206-x_12,Discontinued/Not available,Do not load to OLC,63-206-X,
primary125045,Cancer in Canada [1983],publication82-207-x_12,Discontinued/Not available,Do not load to OLC,82-207-X,
primary125055,Cancer in Canada [1991],publication82-218-x_12,Discontinued/Not available,Do not load to OLC,82-218-X,
primary124839,Therapeutic Abortions [1995],publication82-219-x_12,Discontinued/Not available,Do not load to OLC,82-219-X,
primary125110,Therapeutic Abortions [1986],publication82-211-x_12,Discontinued/Not available,Do not load to OLC,82-211-X,
primary124833,Discouraged workers - Where have they gone?,article75-001-x199200313037_12,,Do not load to OLC,75-001-X199200313037,
primary125613,Homicide in Canada: Statistical highlights - 1982,article85-002-x19840018128_12,,Do not load to OLC,85-002-X19840018128,
primary125619,"Manpower, resources and costs of courts and criminal prosecutions in Canada 1980-82",article85-002-x19840028147_12,,Do not load to OLC,85-002-X19840028147,
primary133528,Homicide in Canada: Statistical highlights - 1983,article85-002-x19840068156_12,,Do not load to OLC,85-002-X19840068156,
primary128324,Policing expenditures in Canada-1987,article85-002-x19880058150_12,,Do not load to OLC,85-002-X19880058150,
primary132258,Data from the Juvenile Courts - 1982,article85-002-x19840038129_12,,Do not load to OLC,85-002-X19840038129,
primary133225,Adult correctional services in Canada,article85-002-x19840058154_12,,Do not load to OLC,85-002-X19840058154,
primary124851,"Legal aid in Canada: Resource and caseload statistics, 1987-88",article85-002-x19890028141_12,,Do not load to OLC,85-002-X19890028141,
primary125551,"Homicides: Canada and selected countries (1975-1979, 1961-1980, and 1980)",article85-002-x19820018145_12,,Do not load to OLC,85-002-X19820018145,
primary125555,Police administration - Statistical highlights - 1981,article85-002-x19820028124_12,,Do not load to OLC,85-002-X19820028124,
primary128148,"Drug offences in Canada, 1962-1987",article85-002-x19880028155_12,,Do not load to OLC,85-002-X19880028155,
primary128274,"Impaired driving in Canada, 1974-1987",article85-002-x19880048139_12,,Do not load to OLC,85-002-X19880048139,
primary128111,"Break and enter in Canada, 1962-1986",article85-002-x19880018137_12,,Do not load to OLC,85-002-X19880018137,
primary128227,Police personnel in Canada-1987,article85-002-x19880038138_12,,Do not load to OLC,85-002-X19880038138,
primary128021,Supply management and GATT,article21-004-x19940095234_12,,Do not load to OLC,21-004-X19940095234,
primary128038,Less than 10% of the workforce feeds us all,article21-004-x19960095222_12,,Do not load to OLC,21-004-X19960095222,
primary128007,Rural retreat,article21-004-x19930105242_12,,Do not load to OLC,21-004-X19930105242,
primary128033,Livestock - Continuing growth,article21-004-x19960035225_12,,Do not load to OLC,21-004-X19960035225,
primary128008,Tilling rich soils in the urban fringe,article21-004-x19930105243_12,,Do not load to OLC,21-004-X19930105243,
primary128030,Imports of cut roses growing,article21-004-x19950035230_12,,Do not load to OLC,21-004-X19950035230,
primary127184,Data from the juvenile courts - 1983,article85-002-x19840078148_12,,Do not load to OLC,85-002-X19840078148,
primary128040,Canada's food processing industry - Growing and changing,article21-004-x19960095224_12,,Do not load to OLC,21-004-X19960095224,
primary128019,"A family portrait of """"rural"""" Canada",article21-004-x19940035240_12,,Do not load to OLC,21-004-X19940035240,
primary128029,Update on shifts in prairie crop production,article21-004-x19950035229_12,,Do not load to OLC,21-004-X19950035229,
primary128039,Chicken producers hopeful about final NAFTA panel ruling,article21-004-x19960095223_12,,Do not load to OLC,21-004-X19960095223,
primary128034,Vineyards adjust to changing consumer tastes,article21-004-x19960035226_12,,Do not load to OLC,21-004-X19960035226,
primary128031,Farming - It's a risky business,article21-004-x19950035231_12,,Do not load to OLC,21-004-X19950035231,
primary128017,Potatoes keep their place on the platter,article21-004-x19940035238_12,,Do not load to OLC,21-004-X19940035238,
primary128009,CUSTA and grain exports,article21-004-x19930105244_12,,Do not load to OLC,21-004-X19930105244,
primary128016,Seeded area trends on the Prairies,article21-004-x19940035237_12,,Do not load to OLC,21-004-X19940035237,
primary125557,The near-retirement rate,article75-001-x200410213112_12,,Do not load to OLC,75-001-X200410213112,
primary133786,The near-retirement rate,article71-005-x20010016790_12,,Do not load to OLC,71-005-X20010016790,
primary130567,Profile of nursing education programs,article82-003-s19900041983_12,,Do not load to OLC,82-003-S19900041983,
primary131738,Measuring hospital productivity and output: The omission of outpatient services,article82-003-s19910032001_12,,Do not load to OLC,82-003-S19910032001,
primary131499,Canada's disabled population in institutions,article82-003-s19900011951_12,,Do not load to OLC,82-003-S19900011951,
primary131511,Canadian cancer statistics 1990,article82-003-s19900021958_12,,Do not load to OLC,82-003-S19900021958,
primary131502,"Divorces in Canada, 1988",article82-003-s19900011953_12,,Do not load to OLC,82-003-S19900011953,
primary131767,Nursing in Canada - 1990,article82-003-s19910032006_12,,Do not load to OLC,82-003-S19910032006,
primary126867,"1981 preliminary crime statistics: A review of crime in Canada, 1977-1981",article85-002-x19820058126_12,,Do not load to OLC,85-002-X19820058126,
primary126507,Adult correctional services in Canada (1978-79 to 1981-82),article85-002-x19830018146_12,,Do not load to OLC,85-002-X19830018146,
primary125564,Overview of adult corrections (1980-81),article85-002-x19820048153_12,,Do not load to OLC,85-002-X19820048153,
primary125605,Police administration - Statistical highlights - 1982,article85-002-x19830028127_12,,Do not load to OLC,85-002-X19830028127,
primary126239,Homicides of police officers in Canada (1961-1980),article85-002-x19820038125_12,,Do not load to OLC,85-002-X19820038125,
primary135370,"Traffic enforcement statistics, 1979-1984",article85-002-x19860018132_12,,Do not load to OLC,85-002-X19860018132,
primary135897,"Traffic enforcement statistics, 1981-1985",article85-002-x19860038134_12,,Do not load to OLC,85-002-X19860038134,
primary125647,Police administration - Statistical highlights - 1983,article85-002-x19840048130_12,,Do not load to OLC,85-002-X19840048130,
primary126897,Policing expenditures in Canada - 1988,article85-002-x19890048122_12,,Do not load to OLC,85-002-X19890048122,
primary127730,Custodial remand in Canada - A national survey (1984-85 and 1985),article85-002-x19870018120_12,,Do not load to OLC,85-002-X19870018120,
primary128223,Police administration - Statistical highlights (1978-1980),article85-002-x19810018123_12,,Do not load to OLC,85-002-X19810018123,
primary127951,"Traffic enforcement statistics, 1982-1986",article85-002-x19870048136_12,,Do not load to OLC,85-002-X19870048136,
primary127926,Police administration - Statistical highlights - 1986,article85-002-x19870038135_12,,Do not load to OLC,85-002-X19870038135,
primary127817,"Violence in Canadian society (1965-1985, 1982, 1985)",article85-002-x19870028144_12,,Do not load to OLC,85-002-X19870028144,
primary135412,Homicide in the family (1974-1987),article85-002-x19890018140_12,,Do not load to OLC,85-002-X19890018140,
primary128514,"Juvenile delinquents, 1980",article85-002-x19810028152_12,,Do not load to OLC,85-002-X19810028152,
primary127345,"Manpower, resources and costs of courts and criminal prosecutions in Canada 1983-84",article85-002-x19850028149_12,,Do not load to OLC,85-002-X19850028149,
primary127251,"Legal aid in Canada: Resource and caseload statistics, 1983-84",article85-002-x19850018131_12,,Do not load to OLC,85-002-X19850018131,
primary127613,Police administration - Statistical highlights - 1962-1985,article85-002-x19860028133_12,,Do not load to OLC,85-002-X19860028133,
primary127413,Police administration - Statistical highlights - 1984,article85-002-x19850038143_12,,Do not load to OLC,85-002-X19850038143,
primary126899,National summary of alternative measures services for young persons,article85-002-x19900028168_12,,Do not load to OLC,85-002-X19900028168,
primary127463,Homicide in Canada: Statistical highlights - 1984,article85-002-x19850048151_12,,Do not load to OLC,85-002-X19850048151,
primary126898,"Sentencing in youth courts, 1984-85 to 1988-89",article85-002-x19900018240_12,,Do not load to OLC,85-002-X19900018240,
primary122380,"Policing expenditures in Canada, 1986",article85-002-x19870058121_12,,Do not load to OLC,85-002-X19870058121,
primary123889,Police personnel in Canada - 1988,article85-002-x19890038142_12,,Do not load to OLC,85-002-X19890038142,
primary128035,Slow economic recovery not hurting agriculture,article21-004-x19960035227_12,,Do not load to OLC,21-004-X19960035227,
primary128036,"The 1996 Census of Agriculture: Emerging trends, new insights!",article21-004-x19960035228_12,,Do not load to OLC,21-004-X19960035228,
primary128032,Where tourism is important,article21-004-x19950035232_12,,Do not load to OLC,21-004-X19950035232,
primary128006,Trends in the consumption of meat and eggs,article21-004-x19930105241_12,,Do not load to OLC,21-004-X19930105241,
primary128018,Farm family incomes - Are they different than the average?,article21-004-x19940035239_12,,Do not load to OLC,21-004-X19940035239,
primary128020,Expanding cattle herd driven by exports,article21-004-x19940095233_12,,Do not load to OLC,21-004-X19940095233,
primary124141,Employment,article71-005-x19970044548_12,,Do not load to OLC,71-005-X19970044548,
primary123645,Discouraged workers - Where have they gone?,article11-010-x199201028_12,,Do not load to OLC,11-010-X199201028,
primary124142,Unemployment in 1997,article71-005-x19970044549_12,,Do not load to OLC,71-005-X19970044549,
primary128023,Rural indicators: How Canada compares with other OECD nations,article21-004-x19940095236_12,,Do not load to OLC,21-004-X19940095236,
primary128037,French fry exports surge in the nineties,article21-004-x19960095221_12,,Do not load to OLC,21-004-X19960095221,
primary128022,Trends in Canadian hog farm operations,article21-004-x19940095235_12,,Do not load to OLC,21-004-X19940095235,
primary135011,Regional labour markets,article71-005-x19970044550_12,,Do not load to OLC,71-005-X19970044550,
primary129230,Access to the information highway,article68-212-x19970002867_12,,Do not load to OLC,68-212-X19970002867,
primary125335,Questionnaire Content 1996 Census of Population,publication92n0064x_12,Do not load to OLC,Do not load to OLC,92N0064X,
primary123918,Unified Enterprise Statistics Program,publication68n0003x_12,Do not load to OLC,Do not load to OLC,68N0003X,
primary125607,A Career in Social Science (SI),publication12f0081x_12,Do not load to OLC,Do not load to OLC,12F0081X,
primary126015,"Industry Trends, 1951-1986",publication93-152-x_12,Do not load to OLC,Do not load to OLC,93-152-X,
primary125340,Labour Market Comparison Study (1979) - Microdata User's Guide,publication75m0008g_12,Do not load to OLC,Do not load to OLC,75M0008G,
primary124410,Survey of Annual Work Patterns - Microdata User's Guide,publication71m0007g_12,Do not load to OLC,Do not load to OLC,71M0007G,
primary124406,Survey of Apprentices and Journeymen in Alberta - Microdata User's Guide,publication71m0003g_12,Do not load to OLC,Do not load to OLC,71M0003G,
primary123466,Ontario,publication92-114-x_12,Do not load to OLC,Do not load to OLC,92-114-X,
primary122387,E-STAT Tutorial for Windows,publication10f0174g_12,Do not load to OLC,Do not load to OLC,10F0174G,
primary122291,"Operating Results, Retail Drug Stores",publication63-607-x_12,Do not load to OLC,Do not load to OLC,63-607-X,
primary122368,E-STAT Tutorial for MAC,publication10f0016g_12,Do not load to OLC,Do not load to OLC,10F0016G,
primary124262,A comparison of mail and e-mail for a survey of employees in federal statistical agencies,article11-522-x19970014155_12,,Do not load to OLC,11-522-X19970014155,
primary124296,Hierarchical Bayes small area estimation using multi-level models,article11-522-x19970014211_12,,Do not load to OLC,11-522-X19970014211,
primary124268,The redesign of the CANSIM database,article11-522-x19970014161_12,,Do not load to OLC,11-522-X19970014161,
primary122053,"Retail Commodity Survey, 1989",publication63-541-x_12,Ongoing/Available,Do not load to OLC,63-541-X,
primary129771,1996 Census Preview of Products and Services (Reference Products: 1996 Census of Population),publication92-350-p_12,Do not load to OLC,Do not load to OLC,92-350-P,
primary125350,"Ethnicity, Immigration and Citizenship",publication93-109-x_12,Do not load to OLC,Do not load to OLC,93-109-X,
primary125339,Federal Electoral Districts,publication93-102-x_12,Do not load to OLC,Do not load to OLC,93-102-X,
primary125342,"Language, Part 2",publication93-103-x_12,Do not load to OLC,Do not load to OLC,93-103-X,
primary122206,"Household Facilities and Equipment, 1977-1981",publication64-601-x_12,Discontinued/Not available,Do not load to OLC,64-601-X,
primary124607,Canadian Out-of-employment Panel Survey 1995,publication72m0001g_12,Do not load to OLC,Do not load to OLC,72M0001G,
primary124413,Labour Market Activity Survey (1986-1990) - Microdata User's Guide,publication71m0010g_12,Do not load to OLC,Do not load to OLC,71M0010G,
primary125423,"Canadians and Their Occupations, A Profile",publication93-157-x_12,Do not load to OLC,Do not load to OLC,93-157-X,
primary124390,"Labour Force Survey Economic Regions, 1986 Census",publication71-604-x_12,Do not load to OLC,Do not load to OLC,71-604-X,
primary136388,Schooling and Major Field of Study,publication93-110-x_12,Do not load to OLC,Do not load to OLC,93-110-X,
primary122303,"Operating Results, Retail Florists",publication63-608-x_12,Do not load to OLC,Do not load to OLC,63-608-X,
primary125500,"CANSIM, Canadian Socio-economic Information Management System, Mini Base Series Directory",publication12-569-x_12,Do not load to OLC,Do not load to OLC,12-569-X,
primary122348,Literacy in the Information Age: Final Report of the International Adult Literacy Survey,publication89-571-x_12,Do not load to OLC,Do not load to OLC,89-571-X,
primary124164,Statistics Canada International Symposium Series: Proceedings,publication11-522-x_12,Do not load to OLC,Do not load to OLC,11-522-X,
primary124235,Encouraging response to agricicultural surveys,article11-522-x19960013312_12,Do not load to OLC,Do not load to OLC,11-522-X19960013312,
primary124202,Socio-economic statistics and public policy: A new role for microsimulation modelling,article11-522-x19950013246_12,,Do not load to OLC,11-522-X19950013246,
primary124256,A survey of program dynamics for evaluating welfare reform,article11-522-x19970014149_12,,Do not load to OLC,11-522-X19970014149,
primary124255,Project to improve provincial economic statistics,article11-522-x19970014148_12,,Do not load to OLC,11-522-X19970014148,
primary124241,"Nonsampling errors, can electronic reporting help?",article11-522-x19960013318_12,,Do not load to OLC,11-522-X19960013318,
primary124204,Interpreting mulitvariate tests,article11-522-x19950013248_12,,Do not load to OLC,11-522-X19950013248,
primary136016,"Department Store Monthly Sales, by Province and Metropolitan Area",publication63-004-x_12,Discontinued/Not available,Do not load to OLC,63-004-X,
primary127518,Industrial Monitor Chemical and Chemical Products and Petroleum Industries,publication15f0037x_12,Discontinued/Not available,Do not load to OLC,15F0037X,
primary136627,"Wholesale Trade Statistics, Wholesale Merchants, Agents and Brokers",publication63-226-x_12,Discontinued/Not available,Do not load to OLC,63-226-X,
primary136578,Vending Machine Operators,publication63-213-x_12,Discontinued/Not available,Do not load to OLC,63-213-X,
primary136596,Campus Book Stores,publication63-219-x_12,Discontinued/Not available,Do not load to OLC,63-219-X,
primary126681,"Gross Domestic Product by Industry (1992=100), 1961-1992",publication15-512-x_12,Discontinued/Not available,Do not load to OLC,15-512-X,
primary124271,Applications of Global Position System (GPS) technology in survey taking,article11-522-x19970014168_12,,Do not load to OLC,11-522-X19970014168,
primary124310,Telephone interview sample designs at the U.S. Census Bureau,article11-522-x19970014237_12,,Do not load to OLC,11-522-X19970014237,
primary124319,Modelling educational qualifications from the British Household Panel Study,article11-522-x19970014246_12,,Do not load to OLC,11-522-X19970014246,
primary124304,New graphical techniques for the analysis of census data,article11-522-x19970014231_12,,Do not load to OLC,11-522-X19970014231,
primary122267,"Interprovincial Wholesale Commodity Survey, 1990",publication63-542-x_12,Ongoing/Available,Do not load to OLC,63-542-X,
primary136587,Direct Selling in Canada,publication63-218-x_12,Discontinued/Not available,Do not load to OLC,63-218-X,
primary133215,"Canada's International Trade in Services, 1969 to 1984",publication67-510-x_12,Discontinued/Not available,Do not load to OLC,67-510-X,
primary128918,Canadian International Trading Patterns,publication65-503-x_12,Discontinued/Not available,Do not load to OLC,65-503-X,
primary135869,1986 Census User Guides - Ethnic Origin,publication99-116-x_12,Do not load to OLC,Do not load to OLC,99-116-X,
primary134800,Energy Statistics Handbook (Introduction),publication57-601-s_12,Do not load to OLC,Do not load to OLC,57-601-S,
primary135784,Proceedings of a Workshop on Demographic Trends and Their Impact on the Canadian Labour Market,publication71-603-x_12,Do not load to OLC,Do not load to OLC,71-603-X,
primary135783,Giving Freely: Volunteers in Canada,publication71-602-x_12,Do not load to OLC,Do not load to OLC,71-602-X,
primary136262,Survey of Union Membership (1984) - Microdata User's Guide,publication71m0004g_12,Do not load to OLC,Do not load to OLC,71M0004G,
primary134929,Survey of Household Energy Use (1993) - Microdata User's Guide,publication57m0001g_12,Do not load to OLC,Do not load to OLC,57M0001G,
primary125627,General Social Survey Cycle 15: Family History (2001) - Public Use Microdata File Documentation and User's Guide,publication12m0015g_12,Discontinued/Not available,Do not load to OLC,12M0015G,
primary136678,Metropolitan Atlas Series,publication98-112-x_12,Do not load to OLC,Do not load to OLC,98-112-X,
primary136687,Canada's Seniors,publication98-121-x_12,Do not load to OLC,Do not load to OLC,98-121-X,
primary122365,User's Guide to 1986 Census Data on Major Field of Study,publication99-130-x_12,Do not load to OLC,Do not load to OLC,99-130-X,
primary136175,"1986 CENSUS USER GUIDES - Age, Sex and MaritaL Status",publication99-107-x_12,Do not load to OLC,Do not load to OLC,99-107-X,
primary126218,"The Changing Profile of Canadian Families with Low Incomes, 1970-1985",publication13-602-x_12,Do not load to OLC,Do not load to OLC,13-602-X,
primary133806,"Health Profile of Aboriginal Children (Under 15 Years of Age) Canada, Provinces and Territories",publication89-535-s_12,Do not load to OLC,Do not load to OLC,89-535-S,
primary136626,Families in Canada,publication98-127-x_12,Do not load to OLC,Do not load to OLC,98-127-X,
primary136380,1986 CENSUS USER GUIDES - Income,publication99-112-x_12,Do not load to OLC,Do not load to OLC,99-112-X,
primary135362,The Decline of Unpaid Family Work in Canada,publication71-519-x_12,Do not load to OLC,Do not load to OLC,71-519-X,
primary122172,Household Facilities and Equipment Revised Estimates,publication64-202-r_12,Do not load to OLC,Do not load to OLC,64-202-R,
primary125923,Family Income: Economic Families,publication93-118-x_12,Do not load to OLC,Do not load to OLC,93-118-X,
primary128005,1986 Census of Population: User's Guide to 1986 Census Data on Housing and Households,publication99-129-x_12,Do not load to OLC,Do not load to OLC,99-129-X,
primary126189,"Employment by Domestic and Foreign Controlled Enterprises in Canada, 1975",publication13-573-x_12,Do not load to OLC,Do not load to OLC,13-573-X,
primary126216,The Characteristics of Dual-earner Families,publication13-601-x_12,Do not load to OLC,Do not load to OLC,13-601-X,
primary125531,"Standard Classification of Goods, 1988: Based on the Harmonized Commodity Description and Coding System - Amendment",publication12-580-s_12,Do not load to OLC,Do not load to OLC,12-580-S,
primary122174,Household Facilities and Equipment,publication64-202-x_12,Discontinued/Not available,Do not load to OLC,64-202-X,
primary128117,"Occupational Trends, 1961-1986",publication93-151-x_12,Do not load to OLC,Do not load to OLC,93-151-X,
primary130573,"Census Tracts. Saskatoon, Part 1",publication95-153-x_12,Do not load to OLC,Do not load to OLC,95-153-X,
primary130577,"Census Tracts. Toronto, Part 1",publication95-163-x_12,Do not load to OLC,Do not load to OLC,95-163-X,
primary125346,"Families, Part 2",publication93-107-x_12,Do not load to OLC,Do not load to OLC,93-107-X,
primary130565,Census Tracts. Montréal,publication95-130-x_12,Do not load to OLC,Do not load to OLC,95-130-X,
primary130579,Census Tracts. Toronto,publication95-164-x_12,Do not load to OLC,Do not load to OLC,95-164-X,
primary130563,"Census Tracts - Montreal, Part 1",publication95-129-x_12,Do not load to OLC,Do not load to OLC,95-129-X,
primary127810,"Demographic and Income Statistics for Postal Areas, Quebec",publication17-204-x_12,Do not load to OLC,Do not load to OLC,17-204-X,
primary127419,Occupation,publication93-112-x_12,Do not load to OLC,Do not load to OLC,93-112-X,
